PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,0,-1,-1,-240.56198,0.18627203,0.25
7,1,1,-1,-1,-248.52596,0.026407871,0.08
7,2,0,-1,-1,-228.69351,0.22008966,0.3
7,3,1,-1,-1,-132.59416,0.12611121,0.4
7,4,1,-1,-1,-268.44672,0.4694411,0.5
7,5,1,-1,-1,-267.19992,0.16809092,0.2
7,6,1,-1,-1,-231.91736,0.7746178,0.85
7,7,1,-1,-1,-199.81297,0.6746757,0.8
7,8,1,-1,-1,-263.68903,0.33577442,0.3
7,9,0,-1,-1,-150.99573,0.6738784,0.9
7,10,0,-1,-1,-261.68912,0.98801863,0.95
7,11,0,-1,-1,-284.12033,0.064544454,0.05
7,12,0,-1,-1,-294.16956,0.15515518,0.15
7,13,1,-1,-1,-278.3661,0.7202227,0.7
7,14,1,-1,-1,-274.77618,0.076118335,0.1
