PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,0,-1,-1,-239.33456,0.18465951,0.25
7,1,0,-1,-1,-293.3649,0.3241169,0.33
7,2,1,-1,-1,-255.24844,0.28546122,0.24
7,3,0,-1,-1,-265.8643,0.29663154,0.33
7,4,0,-1,-1,-295.0624,0.09564784,0.1
7,5,0,-1,-1,-260.35336,0.950465,0.99
7,6,0,-1,-1,-225.5631,0.16559482,0.25
7,7,1,-1,-1,-197.95622,0.6785668,0.55
7,8,0,-1,-1,-177.74709,0.49669433,0.33
7,9,1,-1,-1,-265.0572,0.5657431,0.6
7,10,0,-1,-1,-254.40953,0.37645534,0.33
7,11,1,-1,-1,-204.90086,0.6166501,0.5
7,12,1,-1,-1,-217.49936,0.49644288,0.4
7,13,0,-1,-1,-232.03523,0.92478144,1.0
7,14,0,-1,-1,-284.59247,0.114088535,0.1
