PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,0,-1,-1,-274.8371,0.47618115,0.5
7,1,1,-1,-1,-265.33624,0.9660508,1.0
7,2,0,-1,-1,-288.37378,0.98950964,1.0
7,3,0,-1,-1,-290.28348,0.40870872,0.4
7,4,1,-1,-1,-293.4936,0.33576643,0.33
7,5,0,-1,-1,-253.42442,0.55236995,0.6
7,6,0,-1,-1,-255.2878,0.84541476,0.8
7,7,1,-1,-1,-180.68494,0.9608144,0.8
7,8,0,-1,-1,-215.9457,0.3488405,0.25
7,9,1,-1,-1,-251.75188,0.14964306,0.1
7,10,1,-1,-1,-247.53049,0.8451713,0.9
7,11,1,-1,-1,-136.44955,0.46337023,0.2
7,12,0,-1,-1,-273.11597,0.074395135,0.1
7,13,1,-1,-1,-217.80937,0.19596753,0.1
7,14,0,-1,-1,-283.93768,0.13527878,0.15
