PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,1,-1,-1,-136.74538,0.08742533,0.35
7,1,0,-1,-1,-248.26257,0.046081524,0.1
7,2,1,-1,-1,-211.82768,0.39467818,0.5
7,3,0,-1,-1,-246.49844,0.89388025,0.95
7,4,1,-1,-1,-217.3187,0.30327967,0.4
7,5,1,-1,-1,-233.86404,0.12730345,0.2
7,6,1,-1,-1,-280.6337,0.38204205,0.4
7,7,1,-1,-1,-234.26938,0.12785812,0.2
7,8,1,-1,-1,-187.36557,0.8521189,1.0
7,9,1,-1,-1,-197.29251,0.77026397,0.9
7,10,1,-1,-1,-289.1048,0.8901944,0.9
7,11,0,-1,-1,-272.12476,0.72335684,0.75
7,12,0,-1,-1,-226.1853,0.833504,0.75
7,13,1,-1,-1,-205.527,0.88439643,1.0
7,14,1,-1,-1,-244.42384,0.27125695,0.33
