PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,1,-1,-1,-106.7394,0.3561802,0.4
7,1,1,-1,-1,-257.42593,0.16790774,0.125
7,2,0,-1,-1,-256.8842,0.106460564,0.15
7,3,0,-1,-1,-282.74487,0.06411877,0.08
7,4,0,-1,-1,-250.82532,0.5507683,0.5
7,5,0,-1,-1,-285.96677,0.13723014,0.15
7,6,0,-1,-1,-289.63657,0.9406904,0.95
7,7,1,-1,-1,-269.75073,0.17084084,0.2
7,8,1,-1,-1,-274.28125,0.8256067,0.85
7,9,0,-1,-1,-225.14989,0.9850058,0.9
7,10,0,-1,-1,-280.04138,0.9685461,0.95
7,11,1,-1,-1,-253.01035,0.5481263,0.5
7,12,1,-1,-1,-208.92871,0.6400032,0.75
7,13,1,-1,-1,-250.42966,0.34874898,0.4
7,14,0,-1,-1,-233.46472,0.9732445,0.9
