PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,0,-1,-1,-80.14327,0.77877915,0.33
7,1,1,-1,-1,-224.2944,0.8862548,0.8
7,2,0,-1,-1,-257.4992,0.5428225,0.5
7,3,0,-1,-1,-236.8222,0.56868416,0.5
7,4,1,-1,-1,-76.89153,0.8618585,0.4
7,5,1,-1,-1,-211.8284,0.4053207,0.3
7,6,1,-1,-1,-148.96347,0.7311027,0.5
7,7,0,-1,-1,-205.44684,0.91573733,0.8
7,8,0,-1,-1,-131.63345,0.4765539,0.2
7,9,1,-1,-1,-190.18974,0.4425912,0.3
7,10,0,-1,-1,-203.85883,0.21840179,0.1
7,11,1,-1,-1,-297.90817,0.24817438,0.25
7,12,0,-1,-1,-227.30792,0.18188785,0.1
7,13,1,-1,-1,-232.00243,0.9752641,0.9
7,14,1,-1,-1,-268.1227,0.18090867,0.15
