PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,1,-1,-1,-269.3306,0.13960877,0.11
7,1,1,-1,-1,-270.995,0.47216466,0.5
7,2,0,-1,-1,-269.13965,0.87018645,0.9
7,3,0,-1,-1,-296.43997,0.80312294,0.8
7,4,1,-1,-1,-248.40341,0.25374392,0.2
7,5,0,-1,-1,-273.3594,0.7753509,0.75
7,6,1,-1,-1,-245.73767,0.94292265,1.0
7,7,0,-1,-1,-212.49228,0.35426328,0.25
7,8,0,-1,-1,-214.53027,0.7510474,0.65
7,9,0,-1,-1,-203.35071,0.44926056,0.33
7,10,1,-1,-1,-206.50253,0.44398212,0.33
7,11,0,-1,-1,-178.58585,0.41500336,0.25
7,12,0,-1,-1,-141.98643,0.39874744,0.15
7,13,1,-1,-1,-193.75728,0.5639447,0.7
7,14,1,-1,-1,-254.32365,0.7965574,0.75
