PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,1,-1,-1,-194.167,0.86468506,1.0
7,1,1,-1,-1,-270.83905,0.37800062,0.35
7,2,1,-1,-1,-278.70734,0.21987964,0.2
7,3,0,-1,-1,-187.73224,0.75281155,0.9
7,4,1,-1,-1,-210.8911,0.25682193,0.15
7,5,0,-1,-1,-299.75455,0.080212854,0.08
7,6,0,-1,-1,-297.26062,0.70239615,0.7
7,7,1,-1,-1,-257.7976,0.3575243,0.4
7,8,0,-1,-1,-275.4533,0.12318457,0.1
7,9,1,-1,-1,-242.59068,0.31109267,0.25
7,10,1,-1,-1,-226.6056,0.4671026,0.55
7,11,0,-1,-1,-274.09515,0.025413845,0.05
7,12,0,-1,-1,-238.51347,0.8335731,0.9
7,13,0,-1,-1,-224.17491,0.58642983,0.5
7,14,0,-1,-1,-287.21542,0.6615826,0.65
