PartipantID,Index,Chart_Type,Vis,VisID,Error,TruePerc,ReportPerc
7,0,2,-1,-1,-2.7208595,0.27331606,0.3
7,1,1,-1,-1,-2.283451,0.58040583,0.5
7,2,0,-1,-1,-2.7020543,0.14867407,0.12
7,3,0,-1,-1,-2.1875713,0.005479329,0.1
7,4,1,-1,-1,-2.3606167,0.4302921,0.5
